DUMMY ID,dups,Residency Status,Home State,Alien Status,Citizenship,Citizenship Description,Immigration Status,Corrected Student Ethnic Group,Corrected Student Race,Reported Race/Ethnicity,Denomination,Curr Status1,Term,Acad Level1,Class1,Start Term1,Admit Status,Active Reg Cred,FT/PT,FTE,Fed Cohort Group,Gender,CC Status,Current Type,Active Prog1,Major1,Major2,Major3,Major4,Major5,Minor1,Minor2,Minor3,Minor4,Minor5,School1,School2,Term GPA,Cum GPA,Active Sport1,Active Sport2,Active Sport3,Active Sport4,Age,Cum Cmp Tot,Cum Cmp Tot Grad,Cum Cmp Tot Law,Und Cmp Cred,Marital Status,disabilities
99,  ,C,IN,,,,,NHS,I*W,Two or More Races,Methodist,R,2010FA,G,GR,2006SS,FT,3,PT,0.3333333333,,M,N,,A.MS.JD.ICP,ICP,,,,,,,,,,CAS,,0,2.982,,,,,39,186,21,40,125,M,
105,  ,C,IN,,,,,NHS,W,White,Methodist,R,2010FA,G,GR,1993F,,4,PT,0.4444444444,,F,N,GR,B.MBA.BUS,BUS,,,,,,,,,,CBA,,0,4,,,,,57,172,33,,139,W,
107,  ,C,IN,,,,,NHS,W,White,Lutheran - Others/Unknown,R,2010FA,U,SP,2010SS,CA,3,PT,0.25,,M,N,CA,U.CASC,ND,,,,,,,,,,CAS,,0,4,,,,,67,6,,,6,M,
114,  ,C,IN,,,,,NHS,W,White,Orthodox,R,2010FA,U,SP,2003FA,PT,3,PT,0.25,,F,N,CA,U.CASC,ND,,,,,,,,,,CAS,,0,3.428,,,,,39,115,,,115,M,
120,  ,C,IN,,,,,NHS,W,White,Lutheran - Others/Unknown,R,2010FA,U,SP,2010SP,CA,3,PT,0.25,,F,N,CA,U.CASC,ND,,,,,,,,,,CAS,,0,3,,,,,50,6,,,6,M,
152,  ,C,IN,,,,,NHS,W,White,Roman Catholic,R,2010FA,G,GR,1994S1,FT,3,PT,0.3333333333,,F,N,GR,N.DNP.PMAPN,APN,,,,,,,,,,CON,,0,3.962,,,,,59,36,36,,,M,
197,  ,C,IN,,,,,NHS,W,White,Roman Catholic,R,2010FA,U,JR,1996F,CAM,6,PT,0.5,,F,N,CAP,A.BA.COMNM,COMNM,,,,,ART,,,,,CAS,,0,2.731,,,,,47,85,,,85,D,
236,  ,C,IN,,,,,HIS,,Hispanic or Latino,Prefer not to answer,R,2010FA,G,GR,1998S,FT,3,PT,0.3333333333,1993,M,N,GR,A.MED.SPED,SPED,,,,,,,,,,CAS,,0,3.407,,,,,35,187.5,39,,148.5,S,
261,  ,C,IN,,,,,NHS,W,White,Lutheran - Missouri Synod,R,2010FA,G,GR,2007FA,PT,3,PT,0.3333333333,,F,N,GR,A.MALS.HIST,HIST,,,,,,,,,,CAS,,0,3.783,,,,,46,88.5,18,,70.5,M,
302,  ,C,IN,,,,,NHS,B,Black or African American,Baptist,R,2010FB12,G,GR,2001FA,FT,8,PT,0.8888888889,,M,N,GR,B.MBA.BUS,BUS,,,,,,,,,,CBA,,0,3.338,,,,,40,124,33,91,0,M,
607,  ,C,IN,,,,,NHS,W,White,None,R,2010FA,G,GR,1996F,FT,6,PT,0.6666666667,,F,N,GR,N.G.FNP,FNP,,,,,,,,,,CON,,0,3.347,,,,,56,169,36,,133,S,
685,  ,C,IN,,,,,NHS,W,White,None,R,2010FL,L,L2,2009FL,FT,14,FT,1,,F,N,TR,L.JD.LAW,LAW,,,,,,,,,,SL,,0,3.94,,,,,34,211,33,30,148,M,
761,  ,C,IN,,,,,NHS,W,White,Roman Catholic,R,2010FA,U,SP,1989F,CA,11,PT,0.9166666667,,F,N,CA,U.CASC,ND,,,,,,,,,,CAS,,0,3.575,,,,,47,113,,,113,M,
1090,  ,C,IN,,,,,NHS,W,White,Lutheran - Others/Unknown,R,2010FA,G,GR,1997FA,,0,PT,0,,M,N,GR,A.G.ND,ND,,,,,,,,,,CAS,,0,3.2,,,,,71,21,9,,12,M,
1187,  ,C,IN,,,,,NHS,W,White,Lutheran - Others/Unknown,R,2010FA,G,GR,1999F,FT,3,PT,0.3333333333,,M,N,GR,A.MA.ESC,ESC,,,,,,,,,,CAS,,0,3.814,,,,,34,181,21,,160,M,
1367,  ,C,IN,,,,,NHS,W,White,Roman Catholic,R,2010FA,U,SP,2009FA,CA,3,PT,0.25,,F,N,CA,U.CASC,ND,,,,,,,,,,CAS,,0,4,,,,,55,37,,,37,M,
1431,  ,C,IN,,,,,NHS,W,White,Lutheran - ELCA,R,2010FA,G,GR,2010SP,FT,12,FT,1,,M,N,GR,A.MED.ILS,ILS,,,,,,,,,,CAS,,0,4,,,,,42,54,10,,44,M,
1479,  ,C,IN,,,,,NHS,W,White,Lutheran - Missouri Synod,R,2010FL,L,L3,2008FL,FT,14,FT,1,,F,N,LH,L.JD.LAW,LAW,,,,,,,,,,SL,,0,3.668,,,,,43,198,,61,137,M,
1515,  ,C,IN,,,,,NHS,W,White,Roman Catholic,R,2010FA,G,GR,1997F,FT,3,PT,0.3333333333,,F,N,GR,N.DNP.PMAPN,APN,,,,,,,,,,CON,,0,3.984,,,,,47,52,52,,,M,
1722,  ,C,IN,,,,,NHS,W,White,Lutheran - ELCA,R,2010FA,G,GR,2009SS,PT,3,PT,0.3333333333,,M,N,GR,A.MALS.HIST,HIST,,,,,,,,,,CAS,,0,3.95,,,,,26,158,18,,140,S,
1831,  ,C,IN,,,,,NHS,W,White,Unknown,R,2010FL,L,L3,2005FL,,8,PT,0.6666666667,,F,N,,L.JD.LAW.PT,LAW,,,,,,,,,,SL,,0,2.532,,,,,52,270.5,33,74,163.5,M,
2268,  ,C,IN,,,,,NHS,W,White,Lutheran - ELCA,R,2010FA,G,GR,2010SS,FT,12,FT,1,,F,N,,A.MALS.ENGL,ENGL,,,,,,,,,,CAS,,0,4,,,,,30,131,6,,125,M,
2593,  ,C,IN,,,,,NHS,W,White,Roman Catholic,R,2010FA,G,GR,1998S,FT,3,PT,0.3333333333,,F,N,GR,A.MS.IT,IT,,,,,,,,,,CAS,,0,3.887,,,,,51,14,8,,6,M,
10857,  ,C,IN,,,,,NHS,W,White,Methodist,R,2010FA,G,GR,1999S,FT,3,PT,0.3333333333,,F,N,GR,N.DNP.PMAPN,APN,,,,,,,,,,CON,,0,3.817,,,,,47,63,63,,,M,
10907,  ,C,IN,,,,,NHS,B,Black or African American,Baptist,R,2010FA,U,SR,2010FA,TR,14,FT,1,,F,N,,N.BSN.NURS,NURS,,,,,,,,,,CON,,0,0,,,,,30,94,,,94,,
11062,  ,C,IN,,,,,NHS,W,White,Lutheran - ELCA,R,2010FA,U,SP,2009FA,PT,0,PT,0,,F,N,SA,A.U.SAGE,ND,,,,,,,,,,CAS,,0,3.88,,,,,65,91.3,76.3,,15,M,
11131,  ,C,IN,,,,,NHS,W,White,Nazarene,R,2010FA,G,GR,2009SP,FT,9,FT,1,,F,N,GR,N.DNP.APN,APN,,,,,,,,,,CON,,0,3.4,,,,,33,153,24,,129,M,
11155,  ,R,IN,,,,,NHS,W,White,Roman Catholic,R,2010FA,U,JR,2008FA,FT,14,FT,1,2008,F,Y,,A.BS.BCHEM,BCHE,,,,,,,,,,CAS,,0,3.089,,,,,20,67,,,67,S,
11171,  ,R,IN,,,,,NHS,W,White,Methodist,R,2010FA,U,SR,2008SS,TR,17.5,FT,1,,F,Y,,A.BA.MUS,MUS,,,,,HUM,PHYS,,,,CAS,,0,3.84,,,,,22,115.5,,,115.5,S,
11172,  ,O,IN,,,,,NHS,W,White,Evangelical,R,2010FA,U,SR,2007FA,FT,18,FT,1,2007,F,N,,A.BA.FREN,FREN,ISP,,,,URST,,,,,CAS,,0,3.341,,,,,22,111,,,111,S,
11346,  ,C,IN,,,,,NHS,W,White,Roman Catholic,R,2010FL,L,L2,2008FL,PT,10,PT,0.8333333333,,F,N,D,L.JD.LAW.PT,LAW,,,,,,,,,,SL,,0,3.029,,,,,33,165,,41,124,M,
11379,  ,C,IN,,,,,NHS,W,White,Roman Catholic,R,2010FA,U,SR,1995F,CAM,2,PT,0.1666666667,,F,N,CA,A.BA.ART,ART,,,,,,,,,,CAS,,0,3.7,,,,,49,122,,,122,S,
11535,  ,C,IN,,,,,NHS,W,White,Islam (Muslim),R,2010FA,G,GR,1996S2,FT,3,PT,0.3333333333,,F,N,GR,N.DNP.PMAPN,APN,,,,,,,,,,CON,,0,3.595,,,,,58,56,56,,,D,
11807,  ,C,IN,,,,,NHS,W,White,Roman Catholic,R,2010FB12,G,GR,2009SB2,PT,4,PT,0.4444444444,,M,N,GR,B.MBA.BUS,BUS,,,,,,,,,,CBA,,0,3.666,,,,,33,133,6,,127,S,
12401,  ,R,AR,,,,,NHS,W,White,Lutheran - Missouri Synod,R,2010FA,U,SR,2006FA,FT,15,FT,1,2006,M,N,,A.BA.POLS,POLS,,,,,FUNB,,,,,CAS,,0,2.273,,,,,22,116,,,116,S,
12410,  ,C,IN,,,,,NHS,W,White,,R,2010FL,L,L1,2010FL,FT,15,FT,1,,F,N,,L.JD.LAW,LAW,,,,,,,,,,SL,,0,0,,,,,22,0,,0,,S,
12431,  ,R,IL,,,,,NHS,W,White,,R,2010FA,U,FR,2010FA,FT,16,FT,1,2010,M,N,,A.U.PREENGR,PCOE,,,,,,,,,,CAS,,0,0,,,,,18,0,,,0,,
12435,  ,O,NM,,,,,NHS,W,White,Lutheran - ELCA,R,2010FA,U,SR,2007FA,FT,16,FT,1,2007,M,Y,,E.BSME.ME,ME,,,,,,,,,,COE,,0,3.54,NMCC,NMTI,NMTO,,22,121,,,121,S,
