DUMMY ID,dups,Curr Status1,Term,Acad Level1,Class1,Start Term1,Admit Status,Active Reg Cred,FT/PT,FTE,Fed Cohort Group,Gender,Student Ethnic Group,Student Race,Reported Race/Ethnicity,Ethnic Desc,Denomination,CC Status,Current Type,Active Prog1,Major1,Major2,Major3,Major4,Major5,Minor1,Minor2,Minor3,Minor4,Minor5,School1,School2,Crnt Res. Stat,Home State,Home State,Term GPA,Cum GPA,Active Sport1,Active Sport2,Active Sport3,Active Sport4,Age,Alien Status,Citizenship,Immigration Status,Cum Cmp Tot,Cum Cmp Tot Grad,Cum Cmp Tot Law,Und Cmp Cred,Marital Status,Disabilities,Disability Start Date,Disability End Dates,Returning?
105,  ,R,2011SB12,G,GR,1997F,FT,6,PT,0.6666666667,,F,NHS,W,White,White,Methodist,N,GR,B.MBA.BUS,BUS,,,,,,,,,,CBA,,C,IN,IN,0,4,,,,,58,,,,176,33,,143,W,,,,Y
120,  ,R,2011SP,U,SP,2010SP,CA,3,PT,0.25,,F,NHS,W,White,White,Lutheran - Others/Unknown,N,CA,U.CASC,ND,,,,,,,,,,CAS,,C,IN,IN,0,3,,,,,50,,,,6,,,6,M,,,,Y
152,  ,R,2011SP,G,GR,1994S1,FT,4,PT,0.4444444444,,F,NHS,W,White,White,Roman Catholic,N,GR,N.DNP.PMAPN,APN,,,,,,,,,,CON,,C,IN,IN,0,3.962,,,,,59,,,,39,39,,,M,,,,Y
197,  ,R,2011SP,U,SR,1996F,CAM,10,PT,0.8333333333,,F,NHS,W,White,White,Roman Catholic,N,CAP,A.BA.COMNM,COMNM,,,,,ART,,,,,CAS,,C,IN,IN,0,2.807,,,,,48,,,,91,,,91,D,,,,Y
236,  ,R,2011SP,G,GR,1998S,FT,3,PT,0.3333333333,1993,M,HIS,,Hispanic or Latino,Hispanic or Latino,Prefer not to answer,N,GR,A.MED.INLD,INLD,,,,,,,,,,CAS,,C,IN,IN,0,3.428,,,,,35,,,,190.5,42,,148.5,S,,,,
261,  ,R,2011SP,G,GR,2007FA,PT,3,PT,0.3333333333,,F,NHS,W,White,White,Lutheran - Missouri Synod,N,GR,A.MALS.HIST,HIST,,,,,,,,,,CAS,,C,IN,IN,0,3.771,,,,,47,,,,91.5,21,,70.5,M,,,,Y
302,  ,R,2011SP12,G,GR,2001FA,FT,6,PT,0.6666666667,,M,NHS,B,Black or African American,Black or African American,Baptist,N,GR,B.MBA.BUS,BUS,,,,,,,,,,CBA,,C,IN,IN,0,3.34,,,,,41,,,,128,37,91,0,M,,,,Y
607,  ,R,2011SP,G,GR,1996F,FT,8,PT,0.8888888889,,F,NHS,W,White,White,None,N,GR,N.G.FNP,FNP,,,,,,,,,,CON,,C,IN,IN,0,3.343,,,,,57,,,,175,42,,133,M,,,,Y
685,  ,R,2011SL,L,L2,2009FL,FT,14,FT,1,,F,NHS,W,White,White,None,N,TR,L.JD.LAW,LAW,,,,,,,,,,SL,,C,IN,IN,0,3.957,,,,,34,,,,225,33,44,148,M,,,,Y
761,  ,R,2011SP,U,SP,1989F,CA,10,PT,0.8333333333,,F,NHS,W,White,White,Roman Catholic,N,CA,U.CASC,ND,,,,,,,,,,CAS,,C,IN,IN,0,3.525,,,,,48,,,,124,,,124,M,,,,Y
